165.959   1   0.00500344   0.00500344   3.63078e-05   1.81664e-07
190.546   1   0.00500256   0.00500256   2.75423e-05   1.37782e-07
218.776   1   0.0050019   0.0050019   2.0893e-05   1.04505e-07
251.189   1   0.00500141   0.00500141   1.58489e-05   7.92671e-08
288.403   1   0.00500105   0.00500105   1.20226e-05   6.01259e-08
331.131   1   0.00500078   0.00500078   9.12011e-06   4.56077e-08
380.189   1   0.00500058   0.00500058   6.91831e-06   3.45956e-08
436.516   1   0.00500043   0.00500043   5.24807e-06   2.62426e-08
501.187   1   0.00500032   0.00500032   3.98107e-06   1.99066e-08
575.44   1   0.00500024   0.00500024   3.01995e-06   1.51005e-08
660.693   1   0.00500018   0.00500018   2.29087e-06   1.14547e-08
758.578   1   0.00500013   0.00500013   1.7378e-06   8.68924e-09
870.964   1   0.0050001   0.0050001   1.31826e-06   6.59142e-09
1000   1   0.00500007   0.00500007   1e-06   5.00007e-09
