0.000101809 1 0.0036879 0.00721057 ;
0.000109885 0.999987 0.00368771 0.00721047 ;
0.000125966 0.999962 0.00368731 0.00721028 ;
0.000153179 0.999918 0.00368665 0.00720996 ;
0.000197232 0.999848 0.00368557 0.00720943 ;
0.000268265 0.999735 0.00368383 0.00720858 ;
0.000384338 0.99955 0.00368099 0.0072072 ;
0.000578054 0.999242 0.00367627 0.00720489 ;
0.000909227 0.998714 0.00366821 0.00720093 ;
0.00148932 0.997791 0.00365419 0.00719399 ;
0.00252882 0.996136 0.00362932 0.00718154 ;
0.00442907 0.993114 0.00358471 0.00715871 ;
0.00795975 0.987503 0.00350471 0.00711606 ;
0.0145983 0.976973 0.00336412 0.00703517 ;
0.0271682 0.957118 0.00313108 0.00688 ;
0.0510103 0.919815 0.00279558 0.0065815 ;
0.096059 0.850948 0.00246743 0.00601871 ;
0.180358 0.729468 0.00254309 0.00503594 ;
0.335656 0.536684 0.00353508 0.00360801 ;
0.615597 0.292966 0.00467286 0.00208488 ;
1.10633 0.0939058 0.00346911 0.000896388 ;
1.93766 0.0154893 0.000917638 0.000217802 ;
3.29008 0.00379973 7.08441e-05 3.63489e-05 ;
5.3892 0.00204238 1.26517e-05 1.50688e-05 ;
8.47672 0.00119027 6.21859e-06 8.67606e-06 ;
12.7492 0.000731945 3.41297e-06 5.31368e-06 ;
18.2655 0.000479066 2.08041e-06 3.46837e-06 ;
24.8439 0.000334427 1.39075e-06 2.41748e-06 ;
31.9888 0.000249393 1.00963e-06 1.80134e-06 ;
38.8993 0.000198965 7.92201e-07 1.43649e-06 ;
44.5923 0.00017002 6.70323e-07 1.22723e-06 ;
48.1295 0.000155748 6.11016e-07 1.12408e-06 ;
