0.001   1.17701   0.553498
1.12302   1.22375   0.0930402
2.24504   1.19224   0.0137103
3.36706   1.15633   0.00813413
4.48907   1.1304   0.00696759
5.61109   1.11231   0.00648583
6.73311   1.09958   0.00622509
7.85513   1.09043   0.00606953
8.97715   1.08351   0.00597153
10.0992   1.07795   0.00590548
11.2212   1.07317   0.00585632
12.3432   1.06882   0.0058151
13.4652   1.0647   0.00577688
14.5872   1.06072   0.00573919
15.7093   1.05685   0.00570103
16.8313   1.05306   0.00566217
17.9533   1.04939   0.00562282
19.0753   1.04583   0.00558341
20.1973   1.04242   0.00554437
21.3194   1.03915   0.00550608
22.4414   1.03604   0.00546892
23.5634   1.0331   0.00543314
24.6854   1.03033   0.00539898
25.8074   1.02774   0.00536656
26.9294   1.02532   0.00533597
28.0515   1.02306   0.00530726
29.1735   1.02097   0.00528045
30.2955   1.01904   0.0052555
31.4175   1.01726   0.00523236
32.5395   1.01563   0.00521098
33.6616   1.01413   0.00519128
34.7836   1.01276   0.00517318
35.9056   1.0115   0.00515658
37.0276   1.01036   0.0051414
38.1496   1.00932   0.00512755
39.2716   1.00838   0.00511492
40.3937   1.00752   0.00510344
41.5157   1.00675   0.00509301
42.6377   1.00605   0.00508356
43.7597   1.00542   0.005075
44.8817   1.00485   0.00506726
46.0038   1.00433   0.00506027
47.1258   1.00387   0.00505396
48.2478   1.00346   0.00504828
49.3698   1.00309   0.00504317
50.4918   1.00275   0.00503857
51.6138   1.00245   0.00503444
52.7359   1.00218   0.00503073
53.8579   1.00194   0.0050274
54.9799   1.00173   0.00502442
56.1019   1.00154   0.00502176
57.2239   1.00137   0.00501937
58.346   1.00121   0.00501724
59.468   1.00108   0.00501533
60.59   1.00096   0.00501363
61.712   1.00085   0.00501211
62.834   1.00075   0.00501076
63.9561   1.00067   0.00500955
65.0781   1.00059   0.00500847
66.2001   1.00052   0.00500752
67.3221   1.00046   0.00500667
68.4441   1.00041   0.00500591
69.5661   1.00036   0.00500523
70.6882   1.00032   0.00500464
71.8102   1.00028   0.00500411
72.9322   1.00025   0.00500363
74.0542   1.00022   0.00500322
75.1762   1.0002   0.00500284
76.2983   1.00017   0.00500251
77.4203   1.00015   0.00500222
78.5423   1.00014   0.00500196
79.6643   1.00012   0.00500174
80.7863   1.00011   0.00500153
81.9083   1.00009   0.00500135
83.0304   1.00008   0.00500119
84.1524   1.00007   0.00500105
85.2744   1.00006   0.00500093
86.3964   1.00006   0.00500082
87.5184   1.00005   0.00500072
88.6405   1.00004   0.00500064
89.7625   1.00004   0.00500056
90.8845   1.00003   0.0050005
92.0065   1.00003   0.00500044
93.1285   1.00003   0.00500038
94.2506   1.00002   0.00500034
95.3726   1.00002   0.0050003
96.4946   1.00002   0.00500026
97.6166   1.00002   0.00500023
98.7386   1.00001   0.0050002
99.8606   1.00001   0.00500018
100.983   1.00001   0.00500016
102.105   1.00001   0.00500014
103.227   1.00001   0.00500012
104.349   1.00001   0.00500011
105.471   1.00001   0.00500009
106.593   1.00001   0.00500008
107.715   1   0.00500007
108.837   1   0.00500006
109.959   1   0.00500006
111.081   1   0.00500005
112.203   1   0.00500004
